;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
ml;string;string;string;string;string;string;array_of_values;string;string;;;;;;;;;;;;;;;;;;
;input;output;title;description;description_complete;description_spoil;extra.quest_reward_prewiew;extra.description_condition;extra.description_complete;;;;;;;;;;;;;;;;;;
;/quest_group/fun/Fun13_Story_1.proto.js;/quest_group/fun/StoneGnome_2026_pack_002.proto.js;Секреты подземного городка;Дружок, в подземном городе гномов завелись тайны! Шапокляк наткнулась на разлитый рубиновый суп и следы шестерёнок, Мирослав в панике потерял рабочий молоток, а фонари стали гаснуть один за другим. Дед Домовед шепчет про шахтных привидений, Гордон обнаружил перепутанные драгоценности, а Борька вдруг понял — всё дело в главном механизме, который из-за мелких бед остановился! Поможешь разобраться, кто и что натворил, и вернуть свет в город?;Вот оно что! Главный механизм снова работает, фонари горят ярко, молоток вернулся к Мирославу, а рубиновый суп — в котле. Гномы в восторге, Дед Домовед немного жалеет, что привидений не оказалось, а Шапокляк уже ищет следующее расследование. Подземный город снова уютный, шумный и светлый!;Ой, мы так и не поняли, кто виноват, механизм сломался окончательно, и теперь все сидят в темноте с холодным супом. Борька запутался в бороде, Мирослав плачет над разбитым стеклом, Гордон так и не нашёл янтарь, а Шапокляк забыла, зачем надевала расследовательский шарф...;;Дружок, в подземном городе гномов завелись тайны! Шапокляк наткнулась на разлитый рубиновый суп и следы шестерёнок, Мирослав в панике потерял рабочий молоток, а фонари стали гаснуть один за другим. Дед Домовед шепчет про шахтных привидений, Гордон обнаружил перепутанные драгоценности, а Борька вдруг понял — всё дело в главном механизме, который из-за мелких бед остановился! Поможешь разобраться, кто и что натворил, и вернуть свет в город?;Вот оно что! Главный механизм снова работает, фонари горят ярко, молоток вернулся к Мирославу, а рубиновый суп — в котле. Гномы в восторге, Дед Домовед немного жалеет, что привидений не оказалось, а Шапокляк уже ищет следующее расследование. Подземный город снова уютный, шумный и светлый!;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 1;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;Кто опрокинул суп?;Домовёнок, беда! Кто-то... то есть что-то... а может, что-то кто-то! Короче, рубиновый суп разлит! По стенам брызги, на полу лужа, а рядом — следы от шестерёнок! Это же улики! Поможешь расследовать? Я уже надела свой лучший расследовательский шарф!;Ага! Значит старый механизм от вибрации сбросил ведро! Вот оно что... Ну, я конечно могла предположить, но так интригующе было расследовать! Спасибо, дружок, теперь я хоть знаю куда подкладывать подставку под ведро.;StoneGnome_2026_Character_6;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Дружок, я тут шарфик поправила — и тут же что-то грохнулось! Следы ведут к старому механизму, а рядом валяется дырявое ведро. Похоже, его сбросил очередной виброзвон!;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Character_6;;;;;;;;;;;;;;;;;;;;;;;
;;;action;StoneGnome_2026_Character_6_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Шапокляк;;;;;;;;;;;;;;;;;;;;;;;
